Complex ID,grouping,wiki
464,Vernon Boulevard--Jackson Avenue (IRT Flushing Line),https://en.wikipedia.org/wiki/Vernon_Boulevard%E2%80%93Jackson_Avenue_(IRT_Flushing_Line)
471,34th Street--Hudson Yards (IRT Flushing Line),https://en.wikipedia.org/wiki/34th_Street%E2%80%93Hudson_Yards_(IRT_Flushing_Line)
475,96th Street (IND Second Avenue Line),https://en.wikipedia.org/wiki/96th_Street_(Second_Avenue_Subway)
476,86th Street (IND Second Avenue Line),https://en.wikipedia.org/wiki/86th_Street_(Second_Avenue_Subway)
477,72nd Street (IND Second Avenue Line),https://en.wikipedia.org/wiki/72nd_Street_(Second_Avenue_Subway)
501,St George (Staten Island Railway),https://en.wikipedia.org/wiki/St._George_Terminal
502,Tompkinsville (Staten Island Railway),https://en.wikipedia.org/wiki/Tompkinsville_station
503,Stapleton (Staten Island Railway),https://en.wikipedia.org/wiki/Stapleton_station
504,Clifton (Staten Island Railway),https://en.wikipedia.org/wiki/Clifton_station_(Staten_Island_Railway)
505,Grasmere (Staten Island Railway),https://en.wikipedia.org/wiki/Grasmere_station
506,Old Town (Staten Island Railway),https://en.wikipedia.org/wiki/Old_Town_station_(Staten_Island_Railway)
507,Dongan Hills (Staten Island Railway),https://en.wikipedia.org/wiki/Dongan_Hills_station
508,Jefferson Av (Staten Island Railway),https://en.wikipedia.org/wiki/Jefferson_Avenue_station
509,Grant City (Staten Island Railway),https://en.wikipedia.org/wiki/Grant_City_station
510,New Dorp (Staten Island Railway),https://en.wikipedia.org/wiki/New_Dorp_station
511,Oakwood Heights (Staten Island Railway),https://en.wikipedia.org/wiki/Oakwood_Heights_station
512,Bay Terrace (Staten Island Railway),https://en.wikipedia.org/wiki/Bay_Terrace_station
513,Great Kills (Staten Island Railway),https://en.wikipedia.org/wiki/Great_Kills_station
514,Eltingville (Staten Island Railway),https://en.wikipedia.org/wiki/Eltingville_station
515,Annadale (Staten Island Railway),https://en.wikipedia.org/wiki/Annadale_station
516,Huguenot (Staten Island Railway),https://en.wikipedia.org/wiki/Huguenot_station
517,Prince's Bay (Staten Island Railway),https://en.wikipedia.org/wiki/Prince%27s_Bay_station
518,Pleasant Plains (Staten Island Railway),https://en.wikipedia.org/wiki/Pleasant_Plains_station
519,Richmond Valley (Staten Island Railway),https://en.wikipedia.org/wiki/Richmond_Valley_station
522,Tottenville (Staten Island Railway),https://en.wikipedia.org/wiki/Tottenville_station
523,Arthur Kill (Staten Island Railway),https://en.wikipedia.org/wiki/Arthur_Kill_station
601,14th Street/Sixth Avenue,https://en.wikipedia.org/wiki/14th_Street/Sixth_Avenue_(New_York_City_Subway)
602,14th Street--Union Square,https://en.wikipedia.org/wiki/14th_Street%E2%80%93Union_Square_(New_York_City_Subway)
603,149th Street--Grand Concourse,https://en.wikipedia.org/wiki/149th_Street%E2%80%93Grand_Concourse_(New_York_City_Subway)
604,161st Street--Yankee Stadium,https://en.wikipedia.org/wiki/161st_Street%E2%80%93Yankee_Stadium_(New_York_City_Subway)
